episode,episode_steps,episode_reward,epsilon,running_avg_100,generalization_avg,generalization_seeds,generalization_rewards,best_running_avg_100,best_generalization_avg,saved_best_running_model,saved_best_generalization_model
179,25,25.0,0.28844295477138915,17.24,20.566666666666666,,,17.24,20.566666666666666,1,0
180,29,29.0,0.28572001131712066,17.42,20.566666666666666,,,17.42,20.566666666666666,1,0
181,29,29.0,0.2830308783271034,17.58,20.566666666666666,,,17.58,20.566666666666666,1,0
182,32,32.0,0.2801022931438112,17.78,20.566666666666666,,,17.78,20.566666666666666,1,0
183,46,46.0,0.27596256437237865,18.12,20.566666666666666,,,18.12,20.566666666666666,1,0
184,22,22.0,0.2740115101617494,18.24,20.566666666666666,,,18.24,20.566666666666666,1,0
185,82,82.0,0.2669001696247345,18.95,20.566666666666666,,,18.95,20.566666666666666,1,0
186,31,31.0,0.26427650724620233,19.14,20.566666666666666,,,19.14,20.566666666666666,1,0
187,29,29.0,0.261853635689809,19.31,20.566666666666666,,,19.31,20.566666666666666,1,0
188,94,94.0,0.25420507855390406,20.13,20.566666666666666,,,20.13,20.566666666666666,1,0
189,45,45.0,0.2506517383676612,20.45,20.566666666666666,,,20.45,20.566666666666666,1,0
190,48,48.0,0.2469366804441853,20.81,20.566666666666666,,,20.81,20.566666666666666,1,0
191,52,52.0,0.24299779566324137,21.14,20.566666666666666,,,21.14,20.566666666666666,1,0
192,62,62.0,0.23841532299405033,21.63,20.566666666666666,,,21.63,20.566666666666666,1,0
193,38,38.0,0.2356666190439688,21.92,20.566666666666666,,,21.92,20.566666666666666,1,0
194,125,125.0,0.22693585754411078,23.05,20.566666666666666,,,23.05,20.566666666666666,1,0
195,93,93.0,0.2207385069384572,23.87,20.566666666666666,,,23.87,20.566666666666666,1,0
196,36,36.0,0.2184054142843248,24.12,20.566666666666666,,,24.12,20.566666666666666,1,0
197,12,12.0,0.21763572383791288,24.13,20.566666666666666,,,24.13,20.566666666666666,1,0
198,54,54.0,0.21422094077947282,24.47,20.566666666666666,,,24.47,20.566666666666666,1,0
199,11,11.0,0.21353502402793867,24.41,40.3,42|49|56|63|70|77|84|91|98|105|112|119|126|133|140|147|154|161|168|175|182|189|196|203|210|217|224|231|238|245,10.0|17.0|10.0|32.0|21.0|17.0|15.0|94.0|52.0|47.0|105.0|18.0|142.0|25.0|13.0|14.0|55.0|49.0|57.0|31.0|14.0|13.0|10.0|62.0|146.0|13.0|13.0|65.0|12.0|37.0,24.47,40.3,0,1
200,52,52.0,0.2103361538572337,24.79,40.3,,,24.79,40.3,1,0
201,45,45.0,0.20762516074514262,25.14,40.3,,,25.14,40.3,1,0
202,24,24.0,0.20620064649242775,25.24,40.3,,,25.24,40.3,1,0
