cycle_num,spike_step,cycle_length,membrane_potential_1,membrane_potential_2,membrane_potential_3,membrane_potential_4,membrane_potential_5,membrane_potential_6,membrane_potential_7,membrane_potential_8,membrane_potential_9,membrane_potential_10,membrane_potential_11,membrane_potential_12,membrane_potential_13,membrane_potential_14,membrane_potential_15,membrane_potential_16,membrane_potential_17,membrane_potential_18,membrane_potential_19,membrane_potential_20,membrane_potential_21,membrane_potential_22,membrane_potential_23,membrane_potential_24,membrane_potential_25,membrane_potential_26,membrane_potential_27,membrane_potential_28,membrane_potential_29,membrane_potential_30,membrane_potential_31,membrane_potential_32,membrane_potential_33,membrane_potential_34,membrane_potential_35,membrane_potential_36,membrane_potential_37
159,1239,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
160,1241,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,1254,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
162,1256,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,1269,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
164,1271,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,1284,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
166,1286,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,1299,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
168,1301,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,1314,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
170,1316,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,1329,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
172,1331,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,1344,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
174,1346,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,1359,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
176,1361,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,1374,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
178,1376,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,1389,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
180,1391,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1404,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
182,1406,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,1419,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
184,1421,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,1434,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
186,1436,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,1449,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
188,1451,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,1464,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
190,1466,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,1479,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
192,1481,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,1494,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
194,1496,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,1509,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
196,1511,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,1524,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
198,1526,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,1539,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
200,1541,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,1554,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
202,1556,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,1569,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
204,1571,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1584,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
206,1586,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1599,13,-3116,7887,3270,7027,5681,7100,6817,7432,7472,7796,7920,8129,8263,,,,,,,,,,,,,,,,,,,,,,,,
208,1601,2,228,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
